Date,Species,Strata,Sex,BroodAge,Length_mm
7/11/1995,chinook salmon,NA,Female,NA,790
7/11/1995,chinook salmon,NA,Female,NA,860
7/11/1995,chinook salmon,NA,Female,NA,905
7/11/1995,chinook salmon,NA,Female,NA,680
7/15/1995,chinook salmon,NA,Female,NA,795
7/16/1995,chinook salmon,NA,Female,NA,795
7/16/1995,chinook salmon,NA,Female,NA,780
7/16/1995,chinook salmon,NA,Female,NA,840
7/16/1995,chinook salmon,NA,Female,NA,870
7/17/1995,chinook salmon,NA,Female,NA,790
7/17/1995,chinook salmon,NA,Female,NA,860
7/17/1995,chinook salmon,NA,Female,NA,855
7/17/1995,chinook salmon,NA,Female,NA,775
7/18/1995,chinook salmon,NA,Female,NA,750
7/18/1995,chinook salmon,NA,Female,NA,835
7/18/1995,chinook salmon,NA,Female,NA,775
7/22/1995,chinook salmon,NA,Female,NA,870
7/22/1995,chinook salmon,NA,Female,NA,875
7/22/1995,chinook salmon,NA,Female,NA,860
7/23/1995,chinook salmon,NA,Female,NA,850
7/24/1995,chinook salmon,NA,Female,NA,820
7/24/1995,chinook salmon,NA,Female,NA,780
7/24/1995,chinook salmon,NA,Female,NA,780
7/24/1995,chinook salmon,NA,Female,NA,645
6/29/1995,chinook salmon,NA,Female,NA,745
6/30/1995,chinook salmon,NA,Female,NA,890
6/30/1995,chinook salmon,NA,Female,NA,870
7/3/1995,chinook salmon,NA,Female,NA,820
7/3/1995,chinook salmon,NA,Female,NA,770
7/3/1995,chinook salmon,NA,Female,NA,770
7/3/1995,chinook salmon,NA,Female,NA,825
7/4/1995,chinook salmon,NA,Female,NA,835
7/4/1995,chinook salmon,NA,Female,NA,845
7/4/1995,chinook salmon,NA,Female,NA,880
7/4/1995,chinook salmon,NA,Female,NA,865
7/6/1995,chinook salmon,NA,Female,NA,850
7/10/1995,chinook salmon,NA,Female,NA,870
7/10/1995,chinook salmon,NA,Female,NA,865
7/10/1995,chinook salmon,NA,Female,NA,815
7/10/1995,chinook salmon,NA,Female,NA,815
7/10/1995,chinook salmon,NA,Female,NA,870
7/10/1995,chinook salmon,NA,Female,NA,815
7/10/1995,chinook salmon,NA,Female,NA,890
7/10/1995,chinook salmon,NA,Female,NA,845
7/10/1995,chinook salmon,NA,Female,NA,890
7/10/1995,chinook salmon,NA,Female,NA,1000
7/10/1995,chinook salmon,NA,Female,NA,820
7/10/1995,chinook salmon,NA,Female,NA,820
7/11/1995,chinook salmon,NA,Female,NA,950
7/11/1995,chinook salmon,NA,Female,NA,850
7/11/1995,chinook salmon,NA,Female,NA,790
7/11/1995,chinook salmon,NA,Female,NA,925
7/11/1995,chinook salmon,NA,Female,NA,890
7/11/1995,chinook salmon,NA,Female,NA,945
7/11/1995,chinook salmon,NA,Female,NA,855
7/11/1995,chinook salmon,NA,Female,NA,900
7/11/1995,chinook salmon,NA,Female,NA,915
7/11/1995,chinook salmon,NA,Female,NA,910
7/11/1995,chinook salmon,NA,Female,NA,945
7/11/1995,chinook salmon,NA,Female,NA,745
7/11/1995,chinook salmon,NA,Female,NA,845
7/11/1995,chinook salmon,NA,Female,NA,990
7/11/1995,chinook salmon,NA,Female,NA,920
7/11/1995,chinook salmon,NA,Female,NA,845
7/11/1995,chinook salmon,NA,Female,NA,855
7/11/1995,chinook salmon,NA,Female,NA,810
7/15/1995,chinook salmon,NA,Female,NA,965
7/15/1995,chinook salmon,NA,Female,NA,830
7/16/1995,chinook salmon,NA,Female,NA,905
7/16/1995,chinook salmon,NA,Female,NA,920
7/16/1995,chinook salmon,NA,Female,NA,835
7/16/1995,chinook salmon,NA,Female,NA,890
7/16/1995,chinook salmon,NA,Female,NA,860
7/16/1995,chinook salmon,NA,Female,NA,860
7/16/1995,chinook salmon,NA,Female,NA,915
7/16/1995,chinook salmon,NA,Female,NA,825
7/16/1995,chinook salmon,NA,Female,NA,855
7/16/1995,chinook salmon,NA,Female,NA,950
7/16/1995,chinook salmon,NA,Female,NA,905
7/16/1995,chinook salmon,NA,Female,NA,840
7/17/1995,chinook salmon,NA,Female,NA,875
7/17/1995,chinook salmon,NA,Female,NA,895
7/17/1995,chinook salmon,NA,Female,NA,835
7/17/1995,chinook salmon,NA,Female,NA,785
7/17/1995,chinook salmon,NA,Female,NA,795
7/17/1995,chinook salmon,NA,Female,NA,880
7/17/1995,chinook salmon,NA,Female,NA,870
7/17/1995,chinook salmon,NA,Female,NA,845
7/17/1995,chinook salmon,NA,Female,NA,815
7/17/1995,chinook salmon,NA,Female,NA,740
7/17/1995,chinook salmon,NA,Female,NA,845
7/17/1995,chinook salmon,NA,Female,NA,850
7/18/1995,chinook salmon,NA,Female,NA,840
7/18/1995,chinook salmon,NA,Female,NA,845
7/18/1995,chinook salmon,NA,Female,NA,855
7/18/1995,chinook salmon,NA,Female,NA,850
7/18/1995,chinook salmon,NA,Female,NA,855
7/18/1995,chinook salmon,NA,Female,NA,925
7/18/1995,chinook salmon,NA,Female,NA,870
7/22/1995,chinook salmon,NA,Female,NA,920
7/22/1995,chinook salmon,NA,Female,NA,845
7/22/1995,chinook salmon,NA,Female,NA,905
7/23/1995,chinook salmon,NA,Female,NA,860
7/23/1995,chinook salmon,NA,Female,NA,870
7/23/1995,chinook salmon,NA,Female,NA,870
7/23/1995,chinook salmon,NA,Female,NA,880
7/23/1995,chinook salmon,NA,Female,NA,900
7/23/1995,chinook salmon,NA,Female,NA,865
7/23/1995,chinook salmon,NA,Female,NA,795
7/23/1995,chinook salmon,NA,Female,NA,860
7/23/1995,chinook salmon,NA,Female,NA,830
7/23/1995,chinook salmon,NA,Female,NA,875
7/23/1995,chinook salmon,NA,Female,NA,920
7/23/1995,chinook salmon,NA,Female,NA,845
7/23/1995,chinook salmon,NA,Female,NA,855
7/23/1995,chinook salmon,NA,Female,NA,915
7/23/1995,chinook salmon,NA,Female,NA,875
7/23/1995,chinook salmon,NA,Female,NA,900
7/24/1995,chinook salmon,NA,Female,NA,820
7/24/1995,chinook salmon,NA,Female,NA,835
7/24/1995,chinook salmon,NA,Female,NA,895
7/24/1995,chinook salmon,NA,Female,NA,935
7/24/1995,chinook salmon,NA,Female,NA,865
7/24/1995,chinook salmon,NA,Female,NA,885
7/24/1995,chinook salmon,NA,Female,NA,870
7/24/1995,chinook salmon,NA,Female,NA,910
7/24/1995,chinook salmon,NA,Female,NA,910
7/24/1995,chinook salmon,NA,Female,NA,825
7/24/1995,chinook salmon,NA,Female,NA,800
7/24/1995,chinook salmon,NA,Female,NA,905
7/25/1995,chinook salmon,NA,Female,NA,890
7/25/1995,chinook salmon,NA,Female,NA,865
7/25/1995,chinook salmon,NA,Female,NA,860
7/25/1995,chinook salmon,NA,Female,NA,930
7/25/1995,chinook salmon,NA,Female,NA,830
7/25/1995,chinook salmon,NA,Female,NA,880
7/25/1995,chinook salmon,NA,Female,NA,805
7/25/1995,chinook salmon,NA,Female,NA,870
7/25/1995,chinook salmon,NA,Female,NA,910
7/25/1995,chinook salmon,NA,Female,NA,880
7/25/1995,chinook salmon,NA,Female,NA,885
8/1/1995,chinook salmon,NA,Female,NA,890
7/10/1995,chinook salmon,NA,Female,NA,910
7/10/1995,chinook salmon,NA,Female,NA,900
7/11/1995,chinook salmon,NA,Female,NA,940
7/11/1995,chinook salmon,NA,Female,NA,915
7/23/1995,chinook salmon,NA,Female,NA,795
7/23/1995,chinook salmon,NA,Female,NA,910
6/29/1995,chinook salmon,NA,Female,NA,655
6/30/1995,chinook salmon,NA,Female,NA,510
7/3/1995,chinook salmon,NA,Female,NA,895
7/5/1995,chinook salmon,NA,Female,NA,825
7/10/1995,chinook salmon,NA,Female,NA,915
7/10/1995,chinook salmon,NA,Female,NA,830
7/11/1995,chinook salmon,NA,Female,NA,800
7/11/1995,chinook salmon,NA,Female,NA,805
7/11/1995,chinook salmon,NA,Female,NA,830
7/11/1995,chinook salmon,NA,Female,NA,810
7/15/1995,chinook salmon,NA,Female,NA,915
7/16/1995,chinook salmon,NA,Female,NA,800
7/17/1995,chinook salmon,NA,Female,NA,835
7/17/1995,chinook salmon,NA,Female,NA,890
7/18/1995,chinook salmon,NA,Female,NA,820
7/18/1995,chinook salmon,NA,Female,NA,920
7/24/1995,chinook salmon,NA,Female,NA,870
7/25/1995,chinook salmon,NA,Female,NA,845
7/25/1995,chinook salmon,NA,Female,NA,805
6/27/1995,chum salmon,1,Female,4,570
6/27/1995,chum salmon,1,Female,4,560
6/27/1995,chum salmon,1,Female,4,575
6/27/1995,chum salmon,1,Female,4,565
6/27/1995,chum salmon,1,Female,4,555
6/27/1995,chum salmon,1,Female,4,520
6/27/1995,chum salmon,1,Female,4,595
6/27/1995,chum salmon,1,Female,4,560
6/27/1995,chum salmon,1,Female,4,545
6/27/1995,chum salmon,1,Female,4,600
6/27/1995,chum salmon,1,Female,4,545
6/27/1995,chum salmon,1,Female,4,535
6/27/1995,chum salmon,1,Female,4,540
6/27/1995,chum salmon,1,Female,4,535
6/27/1995,chum salmon,1,Female,4,555
6/27/1995,chum salmon,1,Female,4,560
6/27/1995,chum salmon,1,Female,4,600
6/27/1995,chum salmon,1,Female,4,560
6/27/1995,chum salmon,1,Female,4,570
6/27/1995,chum salmon,1,Female,4,560
6/27/1995,chum salmon,1,Female,4,595
6/27/1995,chum salmon,1,Female,4,535
6/27/1995,chum salmon,1,Female,4,550
6/27/1995,chum salmon,1,Female,4,600
6/27/1995,chum salmon,1,Female,4,555
6/27/1995,chum salmon,1,Female,4,580
6/27/1995,chum salmon,1,Female,4,565
6/27/1995,chum salmon,1,Female,4,575
6/27/1995,chum salmon,1,Female,4,585
6/27/1995,chum salmon,1,Male,4,625
6/27/1995,chum salmon,1,Male,4,590
6/27/1995,chum salmon,1,Male,4,595
6/27/1995,chum salmon,1,Male,4,595
6/27/1995,chum salmon,1,Male,4,585
6/27/1995,chum salmon,1,Male,4,580
6/27/1995,chum salmon,1,Male,4,550
6/27/1995,chum salmon,1,Male,4,560
6/27/1995,chum salmon,1,Male,4,565
6/27/1995,chum salmon,1,Male,4,565
6/27/1995,chum salmon,1,Male,4,565
6/27/1995,chum salmon,1,Male,4,640
6/27/1995,chum salmon,1,Male,4,550
6/27/1995,chum salmon,1,Male,4,610
6/27/1995,chum salmon,1,Male,4,525
6/27/1995,chum salmon,1,Male,4,575
6/27/1995,chum salmon,1,Male,4,545
6/27/1995,chum salmon,1,Male,4,550
6/27/1995,chum salmon,1,Male,4,565
6/27/1995,chum salmon,1,Male,4,615
6/27/1995,chum salmon,1,Male,4,580
6/27/1995,chum salmon,1,Male,4,610
6/27/1995,chum salmon,1,Male,4,585
6/27/1995,chum salmon,1,Male,4,615
6/27/1995,chum salmon,1,Male,4,605
6/27/1995,chum salmon,1,Male,4,585
6/27/1995,chum salmon,1,Male,4,570
6/27/1995,chum salmon,1,Male,4,610
6/27/1995,chum salmon,1,Male,4,570
6/27/1995,chum salmon,1,Male,4,550
6/27/1995,chum salmon,1,Male,4,570
6/27/1995,chum salmon,1,Male,4,570
6/27/1995,chum salmon,1,Male,4,575
6/27/1995,chum salmon,1,Male,4,605
6/27/1995,chum salmon,1,Male,4,565
6/27/1995,chum salmon,1,Male,4,570
6/27/1995,chum salmon,1,Male,4,595
6/27/1995,chum salmon,1,Male,4,630
6/27/1995,chum salmon,1,Male,4,620
6/27/1995,chum salmon,1,Male,4,575
6/27/1995,chum salmon,1,Male,4,580
6/27/1995,chum salmon,1,Male,4,620
6/27/1995,chum salmon,1,Male,4,580
6/27/1995,chum salmon,1,Male,4,565
6/27/1995,chum salmon,1,Male,4,610
6/27/1995,chum salmon,1,Male,4,565
6/27/1995,chum salmon,1,Male,4,575
6/27/1995,chum salmon,1,Male,4,570
6/27/1995,chum salmon,1,Male,4,615
6/27/1995,chum salmon,1,Male,4,580
6/27/1995,chum salmon,1,Male,4,570
6/27/1995,chum salmon,1,Male,4,610
6/27/1995,chum salmon,1,Male,4,595
6/27/1995,chum salmon,1,Male,4,565
6/27/1995,chum salmon,1,Male,4,615
6/27/1995,chum salmon,1,Male,4,590
6/27/1995,chum salmon,1,Female,5,570
6/27/1995,chum salmon,1,Female,5,600
6/27/1995,chum salmon,1,Female,5,520
6/27/1995,chum salmon,1,Female,5,560
6/27/1995,chum salmon,1,Female,5,550
6/27/1995,chum salmon,1,Female,5,550
6/27/1995,chum salmon,1,Female,5,575
6/27/1995,chum salmon,1,Female,5,570
6/27/1995,chum salmon,1,Female,5,555
6/27/1995,chum salmon,1,Female,5,550
6/27/1995,chum salmon,1,Male,5,600
6/27/1995,chum salmon,1,Male,5,580
6/27/1995,chum salmon,1,Male,5,560
6/27/1995,chum salmon,1,Male,5,585
6/27/1995,chum salmon,1,Male,5,585
6/27/1995,chum salmon,1,Male,5,615
6/27/1995,chum salmon,1,Male,5,640
6/27/1995,chum salmon,1,Male,5,575
6/27/1995,chum salmon,1,Male,5,560
6/27/1995,chum salmon,1,Male,5,555
6/27/1995,chum salmon,1,Male,5,600
6/27/1995,chum salmon,1,Male,5,615
6/27/1995,chum salmon,1,Male,5,580
6/27/1995,chum salmon,1,Male,5,580
6/27/1995,chum salmon,1,Male,5,625
6/27/1995,chum salmon,1,Male,5,645
6/27/1995,chum salmon,1,Male,5,580
6/27/1995,chum salmon,1,Male,5,580
6/27/1995,chum salmon,1,Male,5,595
6/27/1995,chum salmon,1,Male,5,575
6/27/1995,chum salmon,1,Male,5,600
6/27/1995,chum salmon,1,Male,5,635
6/27/1995,chum salmon,1,Male,5,555
6/27/1995,chum salmon,1,Male,5,610
6/27/1995,chum salmon,1,Male,5,595
6/27/1995,chum salmon,1,Male,5,565
6/27/1995,chum salmon,1,Male,5,620
6/27/1995,chum salmon,1,Male,5,595
6/27/1995,chum salmon,1,Male,5,635
6/27/1995,chum salmon,1,Male,5,560
6/27/1995,chum salmon,1,Male,5,610
6/27/1995,chum salmon,1,Male,5,620
6/27/1995,chum salmon,1,Male,5,590
6/27/1995,chum salmon,1,Male,5,655
6/27/1995,chum salmon,1,Male,5,595
6/27/1995,chum salmon,1,Male,5,605
6/27/1995,chum salmon,1,Male,5,610
6/27/1995,chum salmon,1,Male,5,590
6/27/1995,chum salmon,1,Male,6,575
6/27/1995,chum salmon,1,Male,6,580
6/27/1995,chum salmon,1,Male,6,595
6/27/1995,chum salmon,1,Male,6,585
7/3/1995,chum salmon,1,Female,4,565
7/3/1995,chum salmon,1,Female,4,530
7/3/1995,chum salmon,1,Female,4,500
7/3/1995,chum salmon,1,Female,4,570
7/3/1995,chum salmon,1,Female,4,565
7/3/1995,chum salmon,1,Female,4,570
7/3/1995,chum salmon,1,Female,4,590
7/3/1995,chum salmon,1,Female,4,530
7/3/1995,chum salmon,1,Female,4,550
7/3/1995,chum salmon,1,Female,4,550
7/3/1995,chum salmon,1,Female,4,510
7/3/1995,chum salmon,1,Female,4,535
7/3/1995,chum salmon,1,Female,4,565
7/3/1995,chum salmon,1,Female,4,550
7/3/1995,chum salmon,1,Female,4,525
7/3/1995,chum salmon,1,Female,4,565
7/3/1995,chum salmon,1,Female,4,590
7/3/1995,chum salmon,1,Female,4,580
7/3/1995,chum salmon,1,Female,4,610
7/3/1995,chum salmon,1,Female,4,550
7/3/1995,chum salmon,1,Female,4,560
7/3/1995,chum salmon,1,Female,4,535
7/3/1995,chum salmon,1,Female,4,545
7/3/1995,chum salmon,1,Female,4,580
7/3/1995,chum salmon,1,Female,4,575
7/3/1995,chum salmon,1,Female,4,540
7/3/1995,chum salmon,1,Female,4,560
7/3/1995,chum salmon,1,Female,4,545
7/3/1995,chum salmon,1,Female,4,595
7/3/1995,chum salmon,1,Female,4,560
7/3/1995,chum salmon,1,Female,4,555
7/3/1995,chum salmon,1,Female,4,580
7/3/1995,chum salmon,1,Female,4,545
7/3/1995,chum salmon,1,Female,4,545
7/3/1995,chum salmon,1,Female,4,560
7/3/1995,chum salmon,1,Female,4,545
7/3/1995,chum salmon,1,Female,4,560
7/3/1995,chum salmon,1,Female,4,545
