"","Date","Species","Strata","Sex","BroodAge","Length_mm"
"34",1995-07-16,"chinook salmon",NA,"Male",NA,465
"35",1995-07-17,"chinook salmon",NA,"Male",NA,515
"36",1995-07-17,"chinook salmon",NA,"Male",NA,745
"37",1995-07-18,"chinook salmon",NA,"Male",NA,625
"38",1995-07-18,"chinook salmon",NA,"Male",NA,535
"39",1995-07-18,"chinook salmon",NA,"Male",NA,480
"40",1995-07-18,"chinook salmon",NA,"Male",NA,575
"41",1995-07-18,"chinook salmon",NA,"Male",NA,715
"42",1995-07-22,"chinook salmon",NA,"Male",NA,585
"43",1995-07-22,"chinook salmon",NA,"Male",NA,500
"44",1995-07-23,"chinook salmon",NA,"Male",NA,545
"45",1995-07-23,"chinook salmon",NA,"Male",NA,530
"46",1995-07-23,"chinook salmon",NA,"Male",NA,530
"47",1995-07-23,"chinook salmon",NA,"Male",NA,610
"48",1995-07-23,"chinook salmon",NA,"Male",NA,520
"49",1995-07-24,"chinook salmon",NA,"Male",NA,510
"50",1995-07-24,"chinook salmon",NA,"Male",NA,650
"51",1995-07-24,"chinook salmon",NA,"Male",NA,645
"52",1995-07-24,"chinook salmon",NA,"Male",NA,640
"53",1995-07-25,"chinook salmon",NA,"Male",NA,695
"54",1995-08-01,"chinook salmon",NA,"Male",NA,630
"55",1995-07-11,"chinook salmon",NA,"Male",NA,570
"56",1995-06-29,"chinook salmon",NA,"Male",NA,730
"57",1995-06-29,"chinook salmon",NA,"Male",NA,775
"58",1995-06-29,"chinook salmon",NA,"Male",NA,670
"59",1995-06-30,"chinook salmon",NA,"Male",NA,775
"60",1995-06-30,"chinook salmon",NA,"Male",NA,755
"61",1995-07-03,"chinook salmon",NA,"Male",NA,765
"62",1995-07-03,"chinook salmon",NA,"Male",NA,760
"63",1995-07-03,"chinook salmon",NA,"Male",NA,790
"64",1995-07-03,"chinook salmon",NA,"Male",NA,715
"65",1995-07-03,"chinook salmon",NA,"Male",NA,775
"66",1995-07-03,"chinook salmon",NA,"Male",NA,875
"67",1995-07-03,"chinook salmon",NA,"Male",NA,805
"68",1995-07-03,"chinook salmon",NA,"Male",NA,720
"69",1995-07-03,"chinook salmon",NA,"Male",NA,725
"70",1995-07-04,"chinook salmon",NA,"Male",NA,890
"71",1995-07-04,"chinook salmon",NA,"Male",NA,725
"72",1995-07-04,"chinook salmon",NA,"Male",NA,760
"73",1995-07-04,"chinook salmon",NA,"Male",NA,820
"74",1995-07-04,"chinook salmon",NA,"Male",NA,725
"75",1995-07-04,"chinook salmon",NA,"Male",NA,735
"76",1995-07-04,"chinook salmon",NA,"Male",NA,720
"77",1995-07-04,"chinook salmon",NA,"Male",NA,765
"78",1995-07-04,"chinook salmon",NA,"Male",NA,725
"79",1995-07-04,"chinook salmon",NA,"Male",NA,840
"80",1995-07-04,"chinook salmon",NA,"Male",NA,675
"81",1995-07-04,"chinook salmon",NA,"Male",NA,775
"82",1995-07-05,"chinook salmon",NA,"Male",NA,730
"83",1995-07-05,"chinook salmon",NA,"Male",NA,910
"84",1995-07-05,"chinook salmon",NA,"Male",NA,675
"85",1995-07-05,"chinook salmon",NA,"Male",NA,770
"86",1995-07-06,"chinook salmon",NA,"Male",NA,765
"87",1995-07-06,"chinook salmon",NA,"Male",NA,870
"88",1995-07-10,"chinook salmon",NA,"Male",NA,870
"89",1995-07-10,"chinook salmon",NA,"Male",NA,775
"90",1995-07-10,"chinook salmon",NA,"Male",NA,665
"91",1995-07-10,"chinook salmon",NA,"Male",NA,685
"92",1995-07-10,"chinook salmon",NA,"Male",NA,790
"93",1995-07-10,"chinook salmon",NA,"Male",NA,695
"94",1995-07-10,"chinook salmon",NA,"Male",NA,775
"95",1995-07-11,"chinook salmon",NA,"Male",NA,815
"96",1995-07-11,"chinook salmon",NA,"Male",NA,700
"97",1995-07-11,"chinook salmon",NA,"Male",NA,755
"98",1995-07-11,"chinook salmon",NA,"Male",NA,730
"99",1995-07-11,"chinook salmon",NA,"Male",NA,670
"100",1995-07-11,"chinook salmon",NA,"Male",NA,660
"101",1995-07-11,"chinook salmon",NA,"Male",NA,855
"102",1995-07-11,"chinook salmon",NA,"Male",NA,730
"103",1995-07-15,"chinook salmon",NA,"Male",NA,690
"104",1995-07-15,"chinook salmon",NA,"Male",NA,530
"105",1995-07-16,"chinook salmon",NA,"Male",NA,740
"106",1995-07-16,"chinook salmon",NA,"Male",NA,750
"107",1995-07-16,"chinook salmon",NA,"Male",NA,745
"108",1995-07-17,"chinook salmon",NA,"Male",NA,655
"109",1995-07-17,"chinook salmon",NA,"Male",NA,860
"110",1995-07-17,"chinook salmon",NA,"Male",NA,665
"111",1995-07-17,"chinook salmon",NA,"Male",NA,715
"112",1995-07-18,"chinook salmon",NA,"Male",NA,715
"113",1995-07-18,"chinook salmon",NA,"Male",NA,755
"114",1995-07-18,"chinook salmon",NA,"Male",NA,545
"115",1995-07-18,"chinook salmon",NA,"Male",NA,660
"116",1995-07-18,"chinook salmon",NA,"Male",NA,825
"117",1995-07-18,"chinook salmon",NA,"Male",NA,655
"118",1995-07-23,"chinook salmon",NA,"Male",NA,645
"119",1995-07-23,"chinook salmon",NA,"Male",NA,860
"120",1995-07-23,"chinook salmon",NA,"Male",NA,680
"121",1995-07-23,"chinook salmon",NA,"Male",NA,705
"122",1995-07-24,"chinook salmon",NA,"Male",NA,765
"123",1995-07-24,"chinook salmon",NA,"Male",NA,795
"124",1995-07-24,"chinook salmon",NA,"Male",NA,775
"125",1995-07-25,"chinook salmon",NA,"Male",NA,560
"126",1995-07-03,"chinook salmon",NA,"Male",NA,720
"127",1995-07-04,"chinook salmon",NA,"Male",NA,750
"128",1995-07-05,"chinook salmon",NA,"Male",NA,765
"129",1995-07-06,"chinook salmon",NA,"Male",NA,805
"130",1995-07-10,"chinook salmon",NA,"Male",NA,795
"131",1995-07-10,"chinook salmon",NA,"Male",NA,690
"132",1995-07-10,"chinook salmon",NA,"Male",NA,680
"133",1995-07-10,"chinook salmon",NA,"Male",NA,910
"134",1995-07-10,"chinook salmon",NA,"Male",NA,755
"135",1995-07-10,"chinook salmon",NA,"Male",NA,810
"136",1995-07-10,"chinook salmon",NA,"Male",NA,850
"137",1995-07-10,"chinook salmon",NA,"Male",NA,840
"138",1995-07-10,"chinook salmon",NA,"Male",NA,780
"139",1995-07-10,"chinook salmon",NA,"Male",NA,580
"140",1995-07-11,"chinook salmon",NA,"Male",NA,815
"141",1995-07-11,"chinook salmon",NA,"Male",NA,835
"142",1995-07-11,"chinook salmon",NA,"Male",NA,720
"143",1995-07-11,"chinook salmon",NA,"Male",NA,765
"144",1995-07-11,"chinook salmon",NA,"Male",NA,800
"145",1995-07-11,"chinook salmon",NA,"Male",NA,780
"146",1995-07-11,"chinook salmon",NA,"Male",NA,905
"147",1995-07-15,"chinook salmon",NA,"Male",NA,805
"148",1995-07-15,"chinook salmon",NA,"Male",NA,850
"149",1995-07-15,"chinook salmon",NA,"Male",NA,700
"150",1995-07-16,"chinook salmon",NA,"Male",NA,840
"151",1995-07-16,"chinook salmon",NA,"Male",NA,970
"152",1995-07-16,"chinook salmon",NA,"Male",NA,830
"153",1995-07-17,"chinook salmon",NA,"Male",NA,810
"154",1995-07-17,"chinook salmon",NA,"Male",NA,920
"155",1995-07-17,"chinook salmon",NA,"Male",NA,855
"156",1995-07-18,"chinook salmon",NA,"Male",NA,850
"157",1995-07-18,"chinook salmon",NA,"Male",NA,805
"158",1995-07-18,"chinook salmon",NA,"Male",NA,810
"159",1995-07-18,"chinook salmon",NA,"Male",NA,790
"160",1995-07-18,"chinook salmon",NA,"Male",NA,775
"161",1995-07-18,"chinook salmon",NA,"Male",NA,800
"162",1995-07-18,"chinook salmon",NA,"Male",NA,830
"163",1995-07-18,"chinook salmon",NA,"Male",NA,760
"164",1995-07-18,"chinook salmon",NA,"Male",NA,855
"165",1995-07-18,"chinook salmon",NA,"Male",NA,780
"166",1995-07-18,"chinook salmon",NA,"Male",NA,815
"167",1995-07-18,"chinook salmon",NA,"Male",NA,815
"168",1995-07-22,"chinook salmon",NA,"Male",NA,755
"169",1995-07-23,"chinook salmon",NA,"Male",NA,800
"170",1995-07-23,"chinook salmon",NA,"Male",NA,860
"171",1995-07-23,"chinook salmon",NA,"Male",NA,895
"172",1995-07-23,"chinook salmon",NA,"Male",NA,710
"173",1995-07-23,"chinook salmon",NA,"Male",NA,740
"174",1995-07-23,"chinook salmon",NA,"Male",NA,830
"175",1995-07-23,"chinook salmon",NA,"Male",NA,765
"176",1995-07-23,"chinook salmon",NA,"Male",NA,840
"177",1995-07-24,"chinook salmon",NA,"Male",NA,875
"178",1995-07-24,"chinook salmon",NA,"Male",NA,765
"179",1995-07-24,"chinook salmon",NA,"Male",NA,845
"180",1995-07-24,"chinook salmon",NA,"Male",NA,870
"181",1995-07-24,"chinook salmon",NA,"Male",NA,880
"182",1995-07-24,"chinook salmon",NA,"Male",NA,845
"183",1995-07-25,"chinook salmon",NA,"Male",NA,715
"184",1995-07-25,"chinook salmon",NA,"Male",NA,835
"185",1995-07-25,"chinook salmon",NA,"Male",NA,1050
"186",1995-07-25,"chinook salmon",NA,"Male",NA,785
"187",1995-07-25,"chinook salmon",NA,"Male",NA,750
"188",1995-07-10,"chinook salmon",NA,"Male",NA,810
"189",1995-06-29,"chinook salmon",NA,"Male",NA,760
"190",1995-07-03,"chinook salmon",NA,"Male",NA,515
"191",1995-07-03,"chinook salmon",NA,"Male",NA,740
"192",1995-07-04,"chinook salmon",NA,"Male",NA,755
"193",1995-07-04,"chinook salmon",NA,"Male",NA,720
"194",1995-07-05,"chinook salmon",NA,"Male",NA,740
"195",1995-07-06,"chinook salmon",NA,"Male",NA,770
"196",1995-07-06,"chinook salmon",NA,"Male",NA,710
"197",1995-07-06,"chinook salmon",NA,"Male",NA,675
"198",1995-07-10,"chinook salmon",NA,"Male",NA,745
"199",1995-07-10,"chinook salmon",NA,"Male",NA,765
"200",1995-07-10,"chinook salmon",NA,"Male",NA,670
"201",1995-07-10,"chinook salmon",NA,"Male",NA,840
"202",1995-07-10,"chinook salmon",NA,"Male",NA,730
"203",1995-07-11,"chinook salmon",NA,"Male",NA,745
"204",1995-07-11,"chinook salmon",NA,"Male",NA,765
"205",1995-07-11,"chinook salmon",NA,"Male",NA,560
"206",1995-07-11,"chinook salmon",NA,"Male",NA,510
"207",1995-07-11,"chinook salmon",NA,"Male",NA,675
"208",1995-07-11,"chinook salmon",NA,"Male",NA,675
"209",1995-07-11,"chinook salmon",NA,"Male",NA,800
"210",1995-07-11,"chinook salmon",NA,"Male",NA,550
"211",1995-07-11,"chinook salmon",NA,"Male",NA,830
"212",1995-07-11,"chinook salmon",NA,"Male",NA,760
"213",1995-07-16,"chinook salmon",NA,"Male",NA,960
"214",1995-07-17,"chinook salmon",NA,"Male",NA,765
"215",1995-07-17,"chinook salmon",NA,"Male",NA,745
"216",1995-07-17,"chinook salmon",NA,"Male",NA,915
"217",1995-07-18,"chinook salmon",NA,"Male",NA,655
"218",1995-07-18,"chinook salmon",NA,"Male",NA,525
"219",1995-07-18,"chinook salmon",NA,"Male",NA,810
"220",1995-07-18,"chinook salmon",NA,"Male",NA,830
"221",1995-07-18,"chinook salmon",NA,"Male",NA,700
"222",1995-07-22,"chinook salmon",NA,"Male",NA,810
"223",1995-07-23,"chinook salmon",NA,"Male",NA,660
"224",1995-07-23,"chinook salmon",NA,"Male",NA,865
"225",1995-07-23,"chinook salmon",NA,"Male",NA,560
"226",1995-07-23,"chinook salmon",NA,"Male",NA,795
"227",1995-07-03,"chinook salmon",NA,"Female",NA,870
"228",1995-07-03,"chinook salmon",NA,"Female",NA,830
"229",1995-07-04,"chinook salmon",NA,"Female",NA,835
"230",1995-07-04,"chinook salmon",NA,"Female",NA,890
"231",1995-07-04,"chinook salmon",NA,"Female",NA,850
"232",1995-07-04,"chinook salmon",NA,"Female",NA,825
"233",1995-07-04,"chinook salmon",NA,"Female",NA,845
"234",1995-07-06,"chinook salmon",NA,"Female",NA,845
"235",1995-07-10,"chinook salmon",NA,"Female",NA,835
"236",1995-07-10,"chinook salmon",NA,"Female",NA,870
"237",1995-07-11,"chinook salmon",NA,"Female",NA,790
"238",1995-07-11,"chinook salmon",NA,"Female",NA,860
"239",1995-07-11,"chinook salmon",NA,"Female",NA,905
"240",1995-07-11,"chinook salmon",NA,"Female",NA,680
"241",1995-07-15,"chinook salmon",NA,"Female",NA,795
"242",1995-07-16,"chinook salmon",NA,"Female",NA,795
"243",1995-07-16,"chinook salmon",NA,"Female",NA,780
"244",1995-07-16,"chinook salmon",NA,"Female",NA,840
"245",1995-07-16,"chinook salmon",NA,"Female",NA,870
"246",1995-07-17,"chinook salmon",NA,"Female",NA,790
"247",1995-07-17,"chinook salmon",NA,"Female",NA,860
"248",1995-07-17,"chinook salmon",NA,"Female",NA,855
"249",1995-07-17,"chinook salmon",NA,"Female",NA,775
"250",1995-07-18,"chinook salmon",NA,"Female",NA,750
"251",1995-07-18,"chinook salmon",NA,"Female",NA,835
"252",1995-07-18,"chinook salmon",NA,"Female",NA,775
"253",1995-07-22,"chinook salmon",NA,"Female",NA,870
"254",1995-07-22,"chinook salmon",NA,"Female",NA,875
"255",1995-07-22,"chinook salmon",NA,"Female",NA,860
"256",1995-07-23,"chinook salmon",NA,"Female",NA,850
"257",1995-07-24,"chinook salmon",NA,"Female",NA,820
"258",1995-07-24,"chinook salmon",NA,"Female",NA,780
"259",1995-07-24,"chinook salmon",NA,"Female",NA,780
"260",1995-07-24,"chinook salmon",NA,"Female",NA,645
"261",1995-06-29,"chinook salmon",NA,"Female",NA,745
"262",1995-06-30,"chinook salmon",NA,"Female",NA,890
"263",1995-06-30,"chinook salmon",NA,"Female",NA,870
"264",1995-07-03,"chinook salmon",NA,"Female",NA,820
"265",1995-07-03,"chinook salmon",NA,"Female",NA,770
"266",1995-07-03,"chinook salmon",NA,"Female",NA,770
"267",1995-07-03,"chinook salmon",NA,"Female",NA,825
"268",1995-07-04,"chinook salmon",NA,"Female",NA,835
"269",1995-07-04,"chinook salmon",NA,"Female",NA,845
"270",1995-07-04,"chinook salmon",NA,"Female",NA,880
"271",1995-07-04,"chinook salmon",NA,"Female",NA,865
"272",1995-07-06,"chinook salmon",NA,"Female",NA,850
"273",1995-07-10,"chinook salmon",NA,"Female",NA,870
"274",1995-07-10,"chinook salmon",NA,"Female",NA,865
"275",1995-07-10,"chinook salmon",NA,"Female",NA,815
"276",1995-07-10,"chinook salmon",NA,"Female",NA,815
"277",1995-07-10,"chinook salmon",NA,"Female",NA,870
"278",1995-07-10,"chinook salmon",NA,"Female",NA,815
"279",1995-07-10,"chinook salmon",NA,"Female",NA,890
"280",1995-07-10,"chinook salmon",NA,"Female",NA,845
"281",1995-07-10,"chinook salmon",NA,"Female",NA,890
"282",1995-07-10,"chinook salmon",NA,"Female",NA,1000
"283",1995-07-10,"chinook salmon",NA,"Female",NA,820
"284",1995-07-10,"chinook salmon",NA,"Female",NA,820
"285",1995-07-11,"chinook salmon",NA,"Female",NA,950
"286",1995-07-11,"chinook salmon",NA,"Female",NA,850
"287",1995-07-11,"chinook salmon",NA,"Female",NA,790
"288",1995-07-11,"chinook salmon",NA,"Female",NA,925
"289",1995-07-11,"chinook salmon",NA,"Female",NA,890
"290",1995-07-11,"chinook salmon",NA,"Female",NA,945
"291",1995-07-11,"chinook salmon",NA,"Female",NA,855
"292",1995-07-11,"chinook salmon",NA,"Female",NA,900
"293",1995-07-11,"chinook salmon",NA,"Female",NA,915
"294",1995-07-11,"chinook salmon",NA,"Female",NA,910
"295",1995-07-11,"chinook salmon",NA,"Female",NA,945
"296",1995-07-11,"chinook salmon",NA,"Female",NA,745
"297",1995-07-11,"chinook salmon",NA,"Female",NA,845
"298",1995-07-11,"chinook salmon",NA,"Female",NA,990
"299",1995-07-11,"chinook salmon",NA,"Female",NA,920
"300",1995-07-11,"chinook salmon",NA,"Female",NA,845
"301",1995-07-11,"chinook salmon",NA,"Female",NA,855
"302",1995-07-11,"chinook salmon",NA,"Female",NA,810
"303",1995-07-15,"chinook salmon",NA,"Female",NA,965
"304",1995-07-15,"chinook salmon",NA,"Female",NA,830
"305",1995-07-16,"chinook salmon",NA,"Female",NA,905
"306",1995-07-16,"chinook salmon",NA,"Female",NA,920
"307",1995-07-16,"chinook salmon",NA,"Female",NA,835
"308",1995-07-16,"chinook salmon",NA,"Female",NA,890
"309",1995-07-16,"chinook salmon",NA,"Female",NA,860
"310",1995-07-16,"chinook salmon",NA,"Female",NA,860
"311",1995-07-16,"chinook salmon",NA,"Female",NA,915
"312",1995-07-16,"chinook salmon",NA,"Female",NA,825
"313",1995-07-16,"chinook salmon",NA,"Female",NA,855
"314",1995-07-16,"chinook salmon",NA,"Female",NA,950
"315",1995-07-16,"chinook salmon",NA,"Female",NA,905
"316",1995-07-16,"chinook salmon",NA,"Female",NA,840
"317",1995-07-17,"chinook salmon",NA,"Female",NA,875
"318",1995-07-17,"chinook salmon",NA,"Female",NA,895
"319",1995-07-17,"chinook salmon",NA,"Female",NA,835
"320",1995-07-17,"chinook salmon",NA,"Female",NA,785
"321",1995-07-17,"chinook salmon",NA,"Female",NA,795
"322",1995-07-17,"chinook salmon",NA,"Female",NA,880
"323",1995-07-17,"chinook salmon",NA,"Female",NA,870
"324",1995-07-17,"chinook salmon",NA,"Female",NA,845
"325",1995-07-17,"chinook salmon",NA,"Female",NA,815
"326",1995-07-17,"chinook salmon",NA,"Female",NA,740
"327",1995-07-17,"chinook salmon",NA,"Female",NA,845
"328",1995-07-17,"chinook salmon",NA,"Female",NA,850
"329",1995-07-18,"chinook salmon",NA,"Female",NA,840
"330",1995-07-18,"chinook salmon",NA,"Female",NA,845
"331",1995-07-18,"chinook salmon",NA,"Female",NA,855
"332",1995-07-18,"chinook salmon",NA,"Female",NA,850
"333",1995-07-18,"chinook salmon",NA,"Female",NA,855
"334",1995-07-18,"chinook salmon",NA,"Female",NA,925
"335",1995-07-18,"chinook salmon",NA,"Female",NA,870
"336",1995-07-22,"chinook salmon",NA,"Female",NA,920
"337",1995-07-22,"chinook salmon",NA,"Female",NA,845
"338",1995-07-22,"chinook salmon",NA,"Female",NA,905
"339",1995-07-23,"chinook salmon",NA,"Female",NA,860
"340",1995-07-23,"chinook salmon",NA,"Female",NA,870
"341",1995-07-23,"chinook salmon",NA,"Female",NA,870
"342",1995-07-23,"chinook salmon",NA,"Female",NA,880
"343",1995-07-23,"chinook salmon",NA,"Female",NA,900
"344",1995-07-23,"chinook salmon",NA,"Female",NA,865
"345",1995-07-23,"chinook salmon",NA,"Female",NA,795
"346",1995-07-23,"chinook salmon",NA,"Female",NA,860
"347",1995-07-23,"chinook salmon",NA,"Female",NA,830
"348",1995-07-23,"chinook salmon",NA,"Female",NA,875
"349",1995-07-23,"chinook salmon",NA,"Female",NA,920
"350",1995-07-23,"chinook salmon",NA,"Female",NA,845
"351",1995-07-23,"chinook salmon",NA,"Female",NA,855
"352",1995-07-23,"chinook salmon",NA,"Female",NA,915
"353",1995-07-23,"chinook salmon",NA,"Female",NA,875
"354",1995-07-23,"chinook salmon",NA,"Female",NA,900
"355",1995-07-24,"chinook salmon",NA,"Female",NA,820
"356",1995-07-24,"chinook salmon",NA,"Female",NA,835
"357",1995-07-24,"chinook salmon",NA,"Female",NA,895
"358",1995-07-24,"chinook salmon",NA,"Female",NA,935
"359",1995-07-24,"chinook salmon",NA,"Female",NA,865
"360",1995-07-24,"chinook salmon",NA,"Female",NA,885
"361",1995-07-24,"chinook salmon",NA,"Female",NA,870
"362",1995-07-24,"chinook salmon",NA,"Female",NA,910
"363",1995-07-24,"chinook salmon",NA,"Female",NA,910
"364",1995-07-24,"chinook salmon",NA,"Female",NA,825
"365",1995-07-24,"chinook salmon",NA,"Female",NA,800
"366",1995-07-24,"chinook salmon",NA,"Female",NA,905
"367",1995-07-25,"chinook salmon",NA,"Female",NA,890
"368",1995-07-25,"chinook salmon",NA,"Female",NA,865
"369",1995-07-25,"chinook salmon",NA,"Female",NA,860
"370",1995-07-25,"chinook salmon",NA,"Female",NA,930
"371",1995-07-25,"chinook salmon",NA,"Female",NA,830
"372",1995-07-25,"chinook salmon",NA,"Female",NA,880
"373",1995-07-25,"chinook salmon",NA,"Female",NA,805
"374",1995-07-25,"chinook salmon",NA,"Female",NA,870
"375",1995-07-25,"chinook salmon",NA,"Female",NA,910
"376",1995-07-25,"chinook salmon",NA,"Female",NA,880
"377",1995-07-25,"chinook salmon",NA,"Female",NA,885
"378",1995-08-01,"chinook salmon",NA,"Female",NA,890
"379",1995-07-10,"chinook salmon",NA,"Female",NA,910
"380",1995-07-10,"chinook salmon",NA,"Female",NA,900
"381",1995-07-11,"chinook salmon",NA,"Female",NA,940
"382",1995-07-11,"chinook salmon",NA,"Female",NA,915
"383",1995-07-23,"chinook salmon",NA,"Female",NA,795
"384",1995-07-23,"chinook salmon",NA,"Female",NA,910
"385",1995-06-29,"chinook salmon",NA,"Female",NA,655
"386",1995-06-30,"chinook salmon",NA,"Female",NA,510
"387",1995-07-03,"chinook salmon",NA,"Female",NA,895
"388",1995-07-05,"chinook salmon",NA,"Female",NA,825
"389",1995-07-10,"chinook salmon",NA,"Female",NA,915
"390",1995-07-10,"chinook salmon",NA,"Female",NA,830
"391",1995-07-11,"chinook salmon",NA,"Female",NA,800
"392",1995-07-11,"chinook salmon",NA,"Female",NA,805
"393",1995-07-11,"chinook salmon",NA,"Female",NA,830
"394",1995-07-11,"chinook salmon",NA,"Female",NA,810
"395",1995-07-15,"chinook salmon",NA,"Female",NA,915
"396",1995-07-16,"chinook salmon",NA,"Female",NA,800
"397",1995-07-17,"chinook salmon",NA,"Female",NA,835
"398",1995-07-17,"chinook salmon",NA,"Female",NA,890
"399",1995-07-18,"chinook salmon",NA,"Female",NA,820
"400",1995-07-18,"chinook salmon",NA,"Female",NA,920
"401",1995-07-24,"chinook salmon",NA,"Female",NA,870
"402",1995-07-25,"chinook salmon",NA,"Female",NA,845
"403",1995-07-25,"chinook salmon",NA,"Female",NA,805
"404",1995-06-27,"chum salmon",1,"Female",4,570
"405",1995-06-27,"chum salmon",1,"Female",4,560
"406",1995-06-27,"chum salmon",1,"Female",4,575
"407",1995-06-27,"chum salmon",1,"Female",4,565
"408",1995-06-27,"chum salmon",1,"Female",4,555
"409",1995-06-27,"chum salmon",1,"Female",4,520
"410",1995-06-27,"chum salmon",1,"Female",4,595
"411",1995-06-27,"chum salmon",1,"Female",4,560
"412",1995-06-27,"chum salmon",1,"Female",4,545
"413",1995-06-27,"chum salmon",1,"Female",4,600
"414",1995-06-27,"chum salmon",1,"Female",4,545
"415",1995-06-27,"chum salmon",1,"Female",4,535
"416",1995-06-27,"chum salmon",1,"Female",4,540
"417",1995-06-27,"chum salmon",1,"Female",4,535
"418",1995-06-27,"chum salmon",1,"Female",4,555
"419",1995-06-27,"chum salmon",1,"Female",4,560
"420",1995-06-27,"chum salmon",1,"Female",4,600
"421",1995-06-27,"chum salmon",1,"Female",4,560
"422",1995-06-27,"chum salmon",1,"Female",4,570
"423",1995-06-27,"chum salmon",1,"Female",4,560
"424",1995-06-27,"chum salmon",1,"Female",4,595
"425",1995-06-27,"chum salmon",1,"Female",4,535
"426",1995-06-27,"chum salmon",1,"Female",4,550
"427",1995-06-27,"chum salmon",1,"Female",4,600
"428",1995-06-27,"chum salmon",1,"Female",4,555
"429",1995-06-27,"chum salmon",1,"Female",4,580
"430",1995-06-27,"chum salmon",1,"Female",4,565
"431",1995-06-27,"chum salmon",1,"Female",4,575
"432",1995-06-27,"chum salmon",1,"Female",4,585
"433",1995-06-27,"chum salmon",1,"Male",4,625
"434",1995-06-27,"chum salmon",1,"Male",4,590
"435",1995-06-27,"chum salmon",1,"Male",4,595
"436",1995-06-27,"chum salmon",1,"Male",4,595
"437",1995-06-27,"chum salmon",1,"Male",4,585
"438",1995-06-27,"chum salmon",1,"Male",4,580
"439",1995-06-27,"chum salmon",1,"Male",4,550
"440",1995-06-27,"chum salmon",1,"Male",4,560
"441",1995-06-27,"chum salmon",1,"Male",4,565
"442",1995-06-27,"chum salmon",1,"Male",4,565
"443",1995-06-27,"chum salmon",1,"Male",4,565
"444",1995-06-27,"chum salmon",1,"Male",4,640
"445",1995-06-27,"chum salmon",1,"Male",4,550
"446",1995-06-27,"chum salmon",1,"Male",4,610
"447",1995-06-27,"chum salmon",1,"Male",4,525
"448",1995-06-27,"chum salmon",1,"Male",4,575
"449",1995-06-27,"chum salmon",1,"Male",4,545
"450",1995-06-27,"chum salmon",1,"Male",4,550
"451",1995-06-27,"chum salmon",1,"Male",4,565
"452",1995-06-27,"chum salmon",1,"Male",4,615
"453",1995-06-27,"chum salmon",1,"Male",4,580
"454",1995-06-27,"chum salmon",1,"Male",4,610
"455",1995-06-27,"chum salmon",1,"Male",4,585
"456",1995-06-27,"chum salmon",1,"Male",4,615
"457",1995-06-27,"chum salmon",1,"Male",4,605
"458",1995-06-27,"chum salmon",1,"Male",4,585
"459",1995-06-27,"chum salmon",1,"Male",4,570
"460",1995-06-27,"chum salmon",1,"Male",4,610
"461",1995-06-27,"chum salmon",1,"Male",4,570
"462",1995-06-27,"chum salmon",1,"Male",4,550
"463",1995-06-27,"chum salmon",1,"Male",4,570
"464",1995-06-27,"chum salmon",1,"Male",4,570
"465",1995-06-27,"chum salmon",1,"Male",4,575
"466",1995-06-27,"chum salmon",1,"Male",4,605
"467",1995-06-27,"chum salmon",1,"Male",4,565
"468",1995-06-27,"chum salmon",1,"Male",4,570
"469",1995-06-27,"chum salmon",1,"Male",4,595
"470",1995-06-27,"chum salmon",1,"Male",4,630
"471",1995-06-27,"chum salmon",1,"Male",4,620
